,text,lang
212,"@_steve_o_ @F1 @AlphaTauriF1 @yukitsunoda07 @PierreGASLY Alpha Tauri have De Vries ,Schumacher, Giovinazzi.. they have many candidats.  Tauri are a low midfield team, and there are many midfield drivers on the market, replacing Gasly will not be difficult. And Gasly deserves to leave for a better team after all he has done for Tauri",en
215,"Yuki Tsunoda will be back on track next year with Alpha Tauri🏎

The question is, who will be joining him at the Italian team next year?🤔 

Read the full story:

https://t.co/ogtns2nLKy

#f1 #formula1 #F12022 #yukitsunoda",en
218,@FormulaOneNews Yuki Tsunoda confirmed by Alpha Tauri to remain on their driver line-up for the 2023 season. #F1,en
220,"Yuki Tsunoda is the deserving choice for Alpha Tauri for next season, says the boss! 🙌🏻

#F1 #YukiTsunoda #AlphaTauri https://t.co/GjSTT0lYYm",en
223,@F1 @AlphaTauriF1 @yukitsunoda07 Finance officer at Alpha Tauri right now. https://t.co/IX8R2qgo3z,en
226,"Yuki driver number 22, Alpha Tauri announces his stay on 22nd September, 2022. I like it.
#F1 https://t.co/cQgweQsp3k",en
227,"Let's go! Yuki Tsunoda is a massive talent who, in hindsight, probably needed an extra year in F2 to ease his F1 transition, but Franz Tost and Alpha Tauri have been fantastic in developing him after the jump, and let's hope 2023 is the year he finally fulfils his potential. https://t.co/rTdMGiY1pB",en
229,Japanese Yuki Tsunoda will remain at Red Bull's Alpha Tauri team for a third season in 2023. https://t.co/VXik4czAaS  🏎 🏁 #f1 #formula1 https://t.co/sPuseGDCc1,en
240,@F1 @AlphaTauriF1 @yukitsunoda07 Breaking! Alpha Tauri decide to keep their little pocket rocket.,en
244,"Also talks with De Vries with Alpine and Williams. So De Vries very much in the driving seat here. He has options. Mostly likely will be Alpha Tauri, with Williams as his back up. Believe Alpine are strong on Gasly #f1 #f12023 #f1twt",en
245,Alpha Tauri working hard on the second seat. Looks like FIA won’t fudge points for Herta. But are now in talks with De Vries after his great drive last race weekend. Gasly could still get his move to Alpine #f1 #f12022 #f12023 #f1twt,en
246,"Yuki at Alpha Tauri for 2023 confirmed! 🥳

How does that line up with your F1 Manager save? https://t.co/vFr1EtOzk7",en
251,Alpha Tauri announce Yuki Tsunoda will remain with the team for the 2023 F1 season https://t.co/hsqmLy8fI0,en
252,Alpha Tauri have announced that Yuki Tsunoda will remain with the team for the 2023 #F1 season. https://t.co/2lgHuvB475,en
254,Yuki extended at Alpha Tauri until the end of 2023 #f1 🤩,en
255,"Alpha Tauri have announced that Yuki Tsunoda will remain with the team for the 2023 F1 season 👇

https://t.co/Qi6O1PDe4h",en
259,"🚨BREAKING🚨
It's official! Yuki Tsunoda stays with Alpha Tauri for 2023.
#F1 #AlphaTauri #Tsunoda",en
262,@Vigillancer @marcuhagg @F1 @AlphaTauriF1 @yukitsunoda07 Barely pay attention to the top 6 anymore tbh. Love seeing the midfield battle and how teams like Alpha Tauri compete with others,en
267,Live #F1 News - Yuki Tsunoda to remain with Alpha Tauri for 2023 season https://t.co/Rb8LQ9lmr3,en
279,Alpha Tauri announce Yuki Tsunoda will remain with the team for the 2023 F1 season https://t.co/KVSjzyFA1U,en
282,"@DewiPreece1 And don’t forget our very own @LiamLawson30 who’s very much in the Red Bull picture so a good chance to step into the F1 limelight with Alpha Tauri, after impressing recently in Spa.",en
284,"**BREAKING**

Yuki Tsunoda stays with @AlphaTauriF1 for the 2023 @F1 season. 

He's impressed team bosses with his progress in his 2 seasons.
It remains to be seen who his team-mate will be, will it be @PierreGASLY?

Congratulations, Yuki 🇯🇵 

#F1 #AlphaTauri Tsunoda Alpha Tauri https://t.co/mKS8GXivsC",en
293,"Latest #F1 news... F1 News: Yuki Tsunoda will continue with Alpha Tauri in 2023
More details here:
https://t.co/iYhTWNEpc0",en
306,Yuki Tsunoda has had his contract extended with the team and will drive for Alpha Tauri in 2023. #F1,en
308,Why is alpha tauri persisting with Yuki??? https://t.co/otsWr8vJgD,en
314,"Alpha Tauri confirm that Yuki Tsunoda will continue to race for the team in 2023 

#F1 https://t.co/6uh0RfFnRZ",en
